path	sentence
common_voice_en_17334321.mp3	After playing tennis in virtual reality, he felt dizzy.
common_voice_en_20308606.mp3	A mansion was usually set on a one square.
common_voice_en_34382925.mp3	Rapidan Campaign May–June.
common_voice_en_18891931.mp3	Alston commented that he felt the cartoonist "might have had some racial intent".
common_voice_en_39583577.mp3	This release is currently out of print.
common_voice_en_15735183.mp3	Doing a handstand needs a lot of practice to learn.
common_voice_en_12677.mp3	Man in red tshirt and baseball cap viewed from above he is has a pile of posters
common_voice_en_19909115.mp3	The two films were then released within one day of each other.
common_voice_en_21687614.mp3	‘What did he say his name was?’ asked the captain.
common_voice_en_41310208.mp3	Ok then, this doesn't really change anything
common_voice_en_17292462.mp3	What did it mean?
common_voice_en_17294261.mp3	At the hospital, I met a very nice nurse.
common_voice_en_22005778.mp3	yes
common_voice_en_33920938.mp3	He received his Ph.
common_voice_en_26452532.mp3	Since their inception, Harris has been the band's principal composer and lyricist.
common_voice_en_601141.mp3	After experiencing a mind-blowing sensual orgy, Mike was sure he had taken an overdose.
common_voice_en_19688238.mp3	Religious festivals include the Muslim Eids and the Christian Christmas and Easter.
common_voice_en_17260286.mp3	What do you advise, sir?
common_voice_en_17941982.mp3	Charles looked on, angry that there was nothing he could do.
common_voice_en_17392864.mp3	The cornices of the room were mostly intact, but showed signs of damage from damp.
common_voice_en_39589864.mp3	Alexandria and Texas were shut down mid-season.
common_voice_en_20274470.mp3	Karina Smirnoff of "Dancing With The Stars" hosted the following month.
common_voice_en_18929193.mp3	It is inhibited by the pneumotaxic centre.
common_voice_en_39950483.mp3	The film was shot in several locations across France and Hungary.
common_voice_en_26555335.mp3	An important person in the life of Emile Claus was the painter Jenny Montigny.
common_voice_en_20789189.mp3	In the United States, Federal Vehicle fleets refers to the federal government's vehicles.
common_voice_en_39582342.mp3	There is also a garnet mine in West Redding.
common_voice_en_28715410.mp3	It was won by a woman from Vara, Sweden.
common_voice_en_22338655.mp3	The prints are then delivered to the customer.
common_voice_en_18007422.mp3	There was a long silence.
common_voice_en_686438.mp3	Maybe he just put it there for safe keeping?
common_voice_en_193576.mp3	In spite of this, I still believed that there were men in Mars.
common_voice_en_635431.mp3	The land was ruined, and I had to find some other way to earn a living.
common_voice_en_155041.mp3	I pointed out Mars, a bright dot of light.
common_voice_en_37355311.mp3	I wondered if those birds were redwings?
common_voice_en_38724372.mp3	He had completed his graduation in Lahore University.
common_voice_en_25902308.mp3	He ended up running to the bars which fortified the windows of the first floor.
common_voice_en_37816005.mp3	She takes him to the lift, sending him downwards.
common_voice_en_111075.mp3	I know why I want to get back to my flock, he thought.
common_voice_en_37185966.mp3	She is married to the rapper and playwright Baba Brinkman.
common_voice_en_25512283.mp3	Many notable problem and study composers are also International Judges, including Genrikh Kasparyan.
common_voice_en_86584.mp3	You should see the other guy, specifically, how good at fighting he is.
common_voice_en_19479960.mp3	He is of African-American and Italian descent.
common_voice_en_17740932.mp3	My office is located on level fifteen.
common_voice_en_38634410.mp3	Lord Kingsdown funded the Kingsdown Church.
common_voice_en_193520.mp3	That's not Carson Sphinx.
common_voice_en_18987361.mp3	Lorenz is listed as a Swiss heritage site of national significance.
common_voice_en_27366699.mp3	I have never in life hit a tennis ball.
common_voice_en_28819598.mp3	He is the first known and undisputed member of the Gediminids.
common_voice_en_17951140.mp3	When it comes to the crunch, our company will become insolvent.
common_voice_en_38946008.mp3	Before entering politics, Karygiannis was a businessman and industrial engineer.
common_voice_en_20233685.mp3	Lion Rock is located north west of Wong Tai Sin.
common_voice_en_37529174.mp3	He also established new schools throughout Spain.
common_voice_en_17488326.mp3	Don't overthink, just do it.
common_voice_en_26957325.mp3	At dusk the Greek western flank was broken.
common_voice_en_38458960.mp3	It is endemic to Western Tropical Africa.
common_voice_en_24023123.mp3	Topical and up-to-the-minute, E!
common_voice_en_18319767.mp3	The farmer works the soil and produces grain.
common_voice_en_22310890.mp3	yes
common_voice_en_39263187.mp3	They found one such edge in Fairbairn's system.
common_voice_en_21943181.mp3	eight
common_voice_en_159192.mp3	"The wind told me that you know about love" the boy said to the sun.
common_voice_en_17647059.mp3	Couldn't this have waited until morning?
common_voice_en_38495768.mp3	The collection of vehicles is listed below.
common_voice_en_38257788.mp3	Various ceremonies were performed for the purpose of removing this contagion.
common_voice_en_41872164.mp3	His most important work was in the field of transformations pioneered by Sophus Lie.
common_voice_en_38318720.mp3	There is a small Vicinity Centres shopping complex in Albion Park.
common_voice_en_638672.mp3	The students colored with their crayons.
common_voice_en_217612.mp3	It seemed to him that it fell to earth about one hundred miles east of here.
common_voice_en_39822664.mp3	The Creeks refused.
common_voice_en_17700846.mp3	We will be visiting in April.
common_voice_en_25540199.mp3	As such it is face uniform but with irregular face polygons.
common_voice_en_16327.mp3	He took the fourth part and handed it to the monk.
common_voice_en_19992991.mp3	He is a right-handed batsman and a left-arm slow bowler.
common_voice_en_21568053.mp3	Cador is also said to be of Roman stock.
common_voice_en_37035266.mp3	She was the first foreigner in Japan to receive the award.
common_voice_en_17278289.mp3	Where will you go?
common_voice_en_17845550.mp3	Get out of this!
common_voice_en_21853647.mp3	Only John Wayne himself surpassed McGrath in scenes in this movie.
common_voice_en_25899004.mp3	Vera Schlink is a talented fund manager. She works in Vienna.
common_voice_en_39182101.mp3	An Inland port is located south of Minto station.
common_voice_en_17939529.mp3	Why can't this researcher check your facts?
common_voice_en_21728876.mp3	'Munising' means near the island.
common_voice_en_16047883.mp3	The owner of the dwelling was not amused.
common_voice_en_19658862.mp3	All of this activity in Milwaukee was in no way unique.
common_voice_en_28693767.mp3	William Barnes the poet also lived in Sturminster Newton.
common_voice_en_39016908.mp3	Hertz's daughters never married and he has no descendants.
common_voice_en_39587246.mp3	He was temporarily in charge of consular affairs as well.
common_voice_en_39618643.mp3	The city has a high-desert climate that averages in January and in July.
common_voice_en_39585483.mp3	Music is usually provided by Michael Martin Murphey and his band.
common_voice_en_571988.mp3	I'm so glad to see you.
common_voice_en_18366642.mp3	I will ask Liam if he can help me look.
common_voice_en_39579744.mp3	It is not yet known how to erase such a nanorecording film.
common_voice_en_40291245.mp3	"Minimum-Maximum" received critical acclaim from critics.
common_voice_en_38511148.mp3	Both of his parents and his two sisters perished in the Holocaust.
common_voice_en_17807987.mp3	What will they think?
common_voice_en_587953.mp3	What was he like?
common_voice_en_30704696.mp3	In Italy she studied law school and she spoke several languages.
common_voice_en_1738082.mp3	Luckily, the dagger couldn't penetrate the bullet proof vest.
common_voice_en_55485.mp3	"Like everybody learns," he said.
common_voice_en_29205769.mp3	His other film roles include Who Done It?
common_voice_en_211811.mp3	How often has the train been late?
common_voice_en_18945888.mp3	He is currently a member of investment bank Jefferies' Global Senior Advisory Board.
common_voice_en_35003570.mp3	Her father was an alderman in the city government.
common_voice_en_17390325.mp3	To increase his popularity in public-opinion polls, the politician started a campaign.
common_voice_en_20248097.mp3	She was the first woman Senator to die in office.
common_voice_en_346163.mp3	Where is it, then?
common_voice_en_18160827.mp3	Michael Jackson began his career as part of the Jackson Five.
common_voice_en_36870030.mp3	It is the first direct communications cable between Finland and Central Europe.
common_voice_en_118385.mp3	Always ask an objective question.
common_voice_en_216602.mp3	rate the current book two stars
common_voice_en_18058434.mp3	He grew strawberries, so you would not like it.
common_voice_en_20783554.mp3	People from all over have come to taste its bear stew.
common_voice_en_17825331.mp3	Young lady Cheer up!
common_voice_en_39766091.mp3	Airport names shown in bold have scheduled passenger service on commercial airlines.
common_voice_en_18599794.mp3	More discussion is needed on how it will be financed.
common_voice_en_173227.mp3	A soldier wearing a pink scarf peers out of the top of a vehicle.
common_voice_en_17674969.mp3	Given only the public key, it is very hard to compute the private one.
common_voice_en_38285837.mp3	Priestesses are said to have preceded priests in some Egyptian cities.
common_voice_en_30513358.mp3	Princess Vilas herself also contributed personally to the construction of the temple.
common_voice_en_40087391.mp3	The spotted coat is caused by a genetic mechanism called the Leopard complex.
common_voice_en_19684552.mp3	"Bambalio" refers to a tendency to stammer.
common_voice_en_178086.mp3	"I can work for the rest of today," the boy answered.
common_voice_en_17303873.mp3	I'd like to order some cinnamon pretzels, please.
common_voice_en_40090899.mp3	The leaves are used for wrapping food and other objects.
common_voice_en_590018.mp3	The boy was also saddened; his friend was in pursuit of his destiny.
common_voice_en_17913948.mp3	Will you do this?
common_voice_en_37538725.mp3	For almost a month, she operated along the Atlantic coast.
common_voice_en_37513380.mp3	The Inca built their cities with locally available materials, usually including limestone or granite.
common_voice_en_605985.mp3	Men play football as a crowd watches.
common_voice_en_1384.mp3	How about once more around the park?
common_voice_en_39574291.mp3	The election was notable for several firsts.
common_voice_en_39742137.mp3	Limavady's schools are closely located in an 'education circle'.
common_voice_en_40913725.mp3	Abbas was considered a leading light of the Urdu short story.
common_voice_en_25385044.mp3	It is possible that there were other visits.
common_voice_en_25659642.mp3	Radio will go on and on forever.
common_voice_en_20952616.mp3	The genus name was given in honour of Queen Victoria of the United Kingdom.
common_voice_en_17249708.mp3	A song, a Girl, a maid.
common_voice_en_37186674.mp3	Blue Pool Road has several steep slopes.
common_voice_en_19970459.mp3	Local branches throughout Slovakia were primarily engaged in public education and cultural activities.
common_voice_en_18168726.mp3	An idle man is the devil's playfellow.
common_voice_en_23432310.mp3	Its major industry has been slate mining.
common_voice_en_20971256.mp3	Today, Signature Flight Support services private aircraft in this area.
common_voice_en_37817835.mp3	Amsterdam: Mathematical Centre Tracts.
common_voice_en_23622461.mp3	This process is intense and often lengthy.
common_voice_en_19670349.mp3	The line appears today on the Tube Map as an orange stripe.
common_voice_en_17388274.mp3	Hey, looks like you made a new friend.
common_voice_en_39028031.mp3	Many fled from his grasp.
common_voice_en_39570352.mp3	The river is stocked by the New Hampshire Fish and Game Department.
common_voice_en_148006.mp3	What kind of a proof is that?
common_voice_en_37021060.mp3	More recent popular titles include "Prime Suspect," "The Forsyte Saga," "Sherlock," and "Downton Abbey".
common_voice_en_18954059.mp3	That application was rejected.
common_voice_en_496804.mp3	They had a lot to divulge.
common_voice_en_17658155.mp3	Hopefully this will actually be a lasting fix to the issue, and not just a short term fix.
common_voice_en_188461.mp3	Every day was there to be lived or to mark one's departure from this world.
common_voice_en_40116704.mp3	After he left school he played his club rugby for Brothers Old Boys.
common_voice_en_31273381.mp3	He also spent time in Paris and London.
common_voice_en_25899258.mp3	Let's go to Orba.
common_voice_en_18330830.mp3	Potato crisps are thinly sliced fried potatoes, eaten as a snack
common_voice_en_27673036.mp3	The movie "White Christmas" also starred Bing Crosby and Danny Kaye.
common_voice_en_23817648.mp3	The staircase survives in The Swan Hotel in Bedford.
common_voice_en_18580493.mp3	We are giving them no rest.
common_voice_en_33211536.mp3	This argument is ancient and musty and in respects an economic fallacy.
common_voice_en_78672.mp3	Throughout the entire day we will be on the lookout for our enemies.
common_voice_en_31883813.mp3	Since that time he has lived in London.
common_voice_en_27167009.mp3	The village's topography is mostly flat.
common_voice_en_22933180.mp3	These original parts of the hospital are now administrative and social accommodation.
common_voice_en_22815192.mp3	She wanted to do penance.
common_voice_en_19087733.mp3	With no weapons, the only attack option open to him was aerial ramming.
common_voice_en_25167293.mp3	It was in Sixpenny Hundred and the lord and tenant-in-chief was Shaftesbury Abbey.
common_voice_en_590694.mp3	Touchscreens do not provide haptic feedback.
common_voice_en_17872512.mp3	Pick a card and slip it under the pack.
common_voice_en_592975.mp3	It was a tent like many at the oasis.
common_voice_en_17415729.mp3	Do you think your boyfriend is cheating on you?
common_voice_en_28954183.mp3	Fouls, on the other hand, can occur only while the ball is in play.
common_voice_en_19704043.mp3	Since leaving office, he has also attended a number of other events of significance.
common_voice_en_696829.mp3	"Fatima," the girl said, averting her eyes.
common_voice_en_20003201.mp3	Indeed the scene was very beautiful.
common_voice_en_18262579.mp3	Are you sure that is exactly what happened?
common_voice_en_38199426.mp3	A remixed and remastered edition of Sluggo!
common_voice_en_39993326.mp3	Several versions exist, but they all involve "Earl Beardie" playing cards.
common_voice_en_36411036.mp3	The idol was only valid until there were four remaining contestants.
common_voice_en_39582068.mp3	See testing hypotheses suggested by the data.
common_voice_en_39750166.mp3	His four books of diaries cover both political and classical themes.
common_voice_en_20115558.mp3	She also taught journalism at the University of California at Berkeley.
common_voice_en_35323404.mp3	In the public imagination, however, Henson became synonymous with Uncle Tom.
common_voice_en_17576876.mp3	Is there a history of heart disease in your family?
common_voice_en_19261373.mp3	The University is a member of several organizations of colleges and universities.
common_voice_en_37574359.mp3	Henry Ford donated much of the necessary land as did many local farmers.
common_voice_en_17793561.mp3	No one has ever done it before.
common_voice_en_459460.mp3	What game do you want to play?
common_voice_en_19624013.mp3	The completed chartering contract is known as a charter party.
common_voice_en_642929.mp3	Maybe the church, with the sycamore growing from within, had been haunted.
common_voice_en_30587446.mp3	It is important to note that not all postcards had images made by Haberkorn.
common_voice_en_31513437.mp3	The album was well received by several critics.
common_voice_en_23930716.mp3	She also is a faculty member at the Tanglewood Music Center.
common_voice_en_20730354.mp3	There are three amino acid residues responsible for this G to M phase transition.
common_voice_en_30617128.mp3	Modern traditions focus on sharing and social bonds.
common_voice_en_636332.mp3	I'll go right after it.
common_voice_en_561715.mp3	You will need to know to build your own custom environment.
common_voice_en_130023.mp3	An awesome picture of a young woman jumping in the air
common_voice_en_101720.mp3	Sure, see you there!
common_voice_en_32321478.mp3	The bridge remained closed for the next two years.
common_voice_en_19683021.mp3	Some concurrent programming models include coprocesses and deterministic concurrency.
common_voice_en_656853.mp3	Some storms are worth the wreckage.
common_voice_en_22029723.mp3	five
common_voice_en_39585731.mp3	That every time we want to do something we'll just build more casinos?
common_voice_en_25211308.mp3	Alcoholics may also require treatment for other psychotropic drug addictions and drug dependences.
common_voice_en_17882645.mp3	The vamp of the shoe had a gold buckle.
common_voice_en_31573.mp3	This convention is a natural.
common_voice_en_17874610.mp3	Otters have interesting features.
common_voice_en_37015328.mp3	Unfortunately, there's not enough of that to be found in this game.
common_voice_en_26945451.mp3	So he decided to choose the area for opening up for cultivation.
common_voice_en_21960400.mp3	three
common_voice_en_18741815.mp3	The final medal tally was led by host Vietnam, followed by Thailand and Indonesia.
common_voice_en_19599411.mp3	Sisters Kimberly and Tiffany, and brother Ryan.
common_voice_en_17426037.mp3	"You're a good lad, you know?" he told his son with stern eyes.
common_voice_en_18393210.mp3	After having advertised wine he sells vinegar.
common_voice_en_27530283.mp3	It continues as a tollway until its terminus in Hillside.
common_voice_en_580095.mp3	Her mom took her to the judo class at four o'clock.
common_voice_en_89735.mp3	Thailand turned out to be a very satisfying holiday.
common_voice_en_26345885.mp3	The series' writers included McGovern, Danny Brocklehurst, Alice Nutter and Shaun Duggan.
common_voice_en_21530644.mp3	The towerblock pictured is the south face of Kestrel House on City Road, London.
common_voice_en_39951305.mp3	Many of the well-known characters from the show were at the filming.
common_voice_en_36748521.mp3	It is next to Burnhamthorpe Collegiate Institute and the Burnhamthorpe Square office complex.
common_voice_en_27971581.mp3	However, he never fully recovered from his wounds and died relatively early.
common_voice_en_31752858.mp3	His first trainers was Vitaliy Khmelnytskyi.
common_voice_en_37791436.mp3	Talk is a crucial link between parents and children.
common_voice_en_24439670.mp3	Morse found fame relatively late in life.
common_voice_en_23815331.mp3	Arizona Republican State Senator Karen Johnson joined the protest in support.
common_voice_en_587409.mp3	Like an old fire horse.
common_voice_en_22157448.mp3	zero
common_voice_en_19731614.mp3	Following is a list of civil wars in ancient Rome.
common_voice_en_19445993.mp3	Originally, the finale for the sixth season was promoted as a cliff-hanger.
common_voice_en_649220.mp3	I notice you still remember it.
common_voice_en_18842868.mp3	At these dimensions, it is large enough to be seen from space.
common_voice_en_18019655.mp3	The Internet is built upon many protocols which complement each other perfectly.
common_voice_en_101919.mp3	Wait for the end of the war.
common_voice_en_19518910.mp3	Finally, the Beatles began playing at the Jac on occasions.
common_voice_en_34159733.mp3	Krasnov.
common_voice_en_27573535.mp3	His grandmother Diana Davison was one of the first female racing drivers in Australia.
common_voice_en_20315716.mp3	Drake grew up in Texas.
common_voice_en_37912369.mp3	Pindari river later joins Alaknanda river at Karnaprayag.
common_voice_en_35007431.mp3	A snapshot can also be saved permanently to Venti.
common_voice_en_660756.mp3	"This desert was once a sea," he said.
common_voice_en_20289257.mp3	It included a new production of "Passion" directed by Jamie Lloyd.
common_voice_en_16570737.mp3	A handsome shoe often pinches the foot.
common_voice_en_28159293.mp3	Hartings is one of ten children.
common_voice_en_17795045.mp3	We don't get much money but we have fun.
common_voice_en_32640808.mp3	The walls of the lock chamber are faced with columnar Basalt.
common_voice_en_18352349.mp3	And the big Persian knew of his existence before he did of hers.
common_voice_en_22316853.mp3	yes
common_voice_en_17391922.mp3	Four doors lead from the landing into two bedrooms, a closet, and a small, but functional bathroom.
common_voice_en_37197187.mp3	How could I make runs?
common_voice_en_31805640.mp3	After Mumbai it also break all records of Bhojpuri box office in Bihar.
common_voice_en_19966423.mp3	But after Musial injured his pitching arm, his career was in serious jeopardy.
common_voice_en_30734518.mp3	The bid price was per coach.
common_voice_en_18084611.mp3	I can reassure you, that we won't retreat until the peace is secured.
common_voice_en_557642.mp3	I don't blame you.
common_voice_en_18639792.mp3	He is reserved and serious, which is a further mark of respectability.
common_voice_en_19627437.mp3	It is a member of the plastocyanin family of copper-binding proteins.
common_voice_en_18983015.mp3	My dad is a Republican.
common_voice_en_40886852.mp3	Norfolk Island is the only non-mainland Australian territory to have had self-governance.
common_voice_en_6237759.mp3	Good playgrounds have much more to offer than swings and slides.
common_voice_en_36493835.mp3	That seems like a very strange thing for dogs to do.
common_voice_en_30686113.mp3	The region remains neglected by the state government and the district administration.
common_voice_en_18182935.mp3	The beer was more than just refreshing, it was delicious.
common_voice_en_38195500.mp3	George Gilfillan, displaying the hallmarks that would characterise his work.
common_voice_en_39583414.mp3	Near the beachouse is a large modern playground.
common_voice_en_22975949.mp3	No change is permissible in regard to festivals and dates.
common_voice_en_26966176.mp3	It also has a visitor center and an interpretive exhibit.
common_voice_en_39581897.mp3	He was initially denied a temple name and left unhonoured in imperial shrines.
common_voice_en_17256107.mp3	Sorry, the test period expired.
common_voice_en_20274233.mp3	And it's a six minute video!
common_voice_en_20267648.mp3	He held the office of Captain of the Royal Company of Archers.
common_voice_en_38349219.mp3	He was born in Bramley, Yorkshire and educated at Leeds Grammar School.
common_voice_en_39582011.mp3	During the operation she arrested, but was resuscitated.
common_voice_en_20730318.mp3	As the player grows closer to Pikachu, more activities become available.
common_voice_en_24995276.mp3	However, there are some issues that came out full colored to celebrate certain anniversaries.
common_voice_en_38029302.mp3	Also at Allen Park is the relocated Tom Collins House.
common_voice_en_32069105.mp3	It is private property and not open to the public.
common_voice_en_17295391.mp3	What do you want me to say?
common_voice_en_18122324.mp3	"I have clearly been discriminated because of my sex", the feminist complained.
common_voice_en_40520767.mp3	During his college days he continued his political work with Kerala Students Union.
common_voice_en_486727.mp3	The forest burned for thirteen days.
common_voice_en_17365657.mp3	He kept driving at full speed, totally unfazed by the flap, flap, flap of the burst tyre.
common_voice_en_17813315.mp3	What did you say your name was?
common_voice_en_37958331.mp3	Public facilities, as precautionary measures, were closed.
common_voice_en_125709.mp3	I accuse this man of being a faker!
common_voice_en_666797.mp3	There was a loud shriek from a woman standing behind us.
common_voice_en_31398598.mp3	Neither does she appear in the Ordnance Survey memoir for Carrickfergus.
common_voice_en_22653348.mp3	The prototype was converted into a factory fire engine for the Peugeot plant.
common_voice_en_19288096.mp3	It's Not Dylan!
common_voice_en_40209398.mp3	They can also be sliced and dried to prepare a flour.
common_voice_en_41104240.mp3	I think that comes across when you listen to it.
common_voice_en_655589.mp3	His hands began to tremble, and the woman sensed it.
common_voice_en_25431399.mp3	The town's school system is united with neighboring Warren, Rhode Island.
common_voice_en_39580682.mp3	New religious orders began to be introduced into England.
common_voice_en_20925566.mp3	They sometimes have a central tune which some of the strains are based on.
common_voice_en_17915682.mp3	You might hear "font families" more than "typefaces", even though they could mean the same thing.
common_voice_en_38499.mp3	A man with a white beard is writing in a book while two women look on
common_voice_en_25152047.mp3	Blackmar, Life of Chas.
common_voice_en_38590791.mp3	Many of these phenomena are reversible.
common_voice_en_37571828.mp3	His mother was of part German descent.
common_voice_en_39326630.mp3	Vitti's made only two English language films.
common_voice_en_20980946.mp3	Charly was now alone.
common_voice_en_17450465.mp3	Do you speak German?
common_voice_en_17898437.mp3	The best method is to fix it in place with clips.
common_voice_en_40523956.mp3	His twin brother died from kidney failure.
common_voice_en_30576267.mp3	Team event was cancelled.
common_voice_en_17290920.mp3	Oh, what is it?
common_voice_en_525496.mp3	I've stuck it back together.
common_voice_en_37310619.mp3	Japanese chemical weapons were later found mixed with Soviet and Chinese chemical weapons.
common_voice_en_28001452.mp3	It's not one of those complicated things.
common_voice_en_39644687.mp3	He is an active Christian.
common_voice_en_140702.mp3	It is the most valuable stamp in the world.
common_voice_en_17513363.mp3	Mommy, can we have a puppy please?
common_voice_en_20255280.mp3	Her husband joined with her in establishing a law firm together.
common_voice_en_17391719.mp3	Tomorrow morning, she will check into the hospital.
common_voice_en_17675960.mp3	What are we to do?
common_voice_en_38502252.mp3	However, it can corrode some metals and so must be stored and transported carefully.
common_voice_en_40353713.mp3	Even with his defeat, Charles still planned to redeem himself by a Norwegian invasion.
common_voice_en_27076011.mp3	He did this by obscuring the reflector with a mask containing two vertical slits.
common_voice_en_17786320.mp3	Don't advertise: Tell it to a gossip.
common_voice_en_19594622.mp3	Further, there is no mention of the comet in Chinese literature of the time.
common_voice_en_31842530.mp3	He graduated in law at Warsaw University.
common_voice_en_37654390.mp3	The town is named after General John Sullivan.
common_voice_en_32406390.mp3	Most of his works feature animals.
common_voice_en_19981734.mp3	He was born at Landsberg on the Lech.
common_voice_en_175039.mp3	The quickening of time
common_voice_en_638542.mp3	Four hundred and fifty dollars.
common_voice_en_37869861.mp3	Visitors can interact with these communities to learn about their culture and lifestyle.
common_voice_en_657912.mp3	We've got to walk up to the tower.
common_voice_en_25007753.mp3	The win was one of only two for the Saints in that dismal season.
common_voice_en_592258.mp3	The plastic barrier shattered.
common_voice_en_25600659.mp3	This song was meant to make the general public aware of heroes.
common_voice_en_17848446.mp3	She rose to her feet.
common_voice_en_18391567.mp3	Acceleration of time.
common_voice_en_208041.mp3	It was seen early in the morning, rushing over eastward.
common_voice_en_18989065.mp3	It is found in the Indian subcontinent, China, and Southeast Asia.
common_voice_en_19822582.mp3	"Getting to play someone as unrestricted as a vampire is a thrill," she says.
common_voice_en_567708.mp3	A man holding a newborn baby in a blue, pink, and white blanket.
common_voice_en_26264544.mp3	One week later she was released after successfully appealing her arrest.
common_voice_en_40045217.mp3	He played different styles of music including "Indian, Celtic, bluegrass and folk".
common_voice_en_17567680.mp3	Have you met Catherine?
common_voice_en_27579270.mp3	WaterFire now enjoys national and international renown.
common_voice_en_42504.mp3	An huge hole had been made by the impact of the projectile.
common_voice_en_27147147.mp3	At the boundary between Gorton and Audenshaw it continues as Manchester Road.
common_voice_en_17384588.mp3	He paused, looked back at the house, but then pocketed the keys, opened the gate and strode down the path quickly.
common_voice_en_18486657.mp3	She must have noted your lack of appetite.
common_voice_en_683344.mp3	Lemme have the Desk.
common_voice_en_20853399.mp3	He fled but only got as far as Greenwich before being captured.
common_voice_en_671672.mp3	The old man said nothing.
common_voice_en_29515592.mp3	The instruments have names like "exhaustaphone", "tank bass", "doorimba", "tube flute", and "percarsion".
common_voice_en_19696223.mp3	You do it.
common_voice_en_18398188.mp3	Remind me to send another email.
common_voice_en_15733852.mp3	The quick fox jumped on the sleeping cat.
common_voice_en_17863610.mp3	Also, oil and coal have hidden costs that others have to pay.
common_voice_en_37704105.mp3	The first two seasons have been wiped, although the final season is intact.
common_voice_en_18289724.mp3	The barrel of beer was a brew of malt and hops.
common_voice_en_17990756.mp3	This swallow is twittering without Internet connection and has a swarm of followers.
common_voice_en_34362655.mp3	Defending champions Leinster Lightning suffered two defeats from their three matches.
common_voice_en_28626476.mp3	In this game knights "relay" their power to friendly pieces.
common_voice_en_38333484.mp3	It is therefore intricately related to the development of Halacha.
common_voice_en_31705666.mp3	He played for the youth categories of Real Betis.
common_voice_en_568320.mp3	It drew a droplet of blood.
common_voice_en_27601870.mp3	These expectations, however, never happened.
common_voice_en_595215.mp3	Bill decided that management should know about this incident.
common_voice_en_26979096.mp3	The oldest superstring theory containing open strings was type one string theory.
common_voice_en_18160622.mp3	Where can I apply for the job of a millionaire?
common_voice_en_24785942.mp3	Modern brunost does not contain significant amounts of iron.
common_voice_en_38371664.mp3	Dicastillo is a village in Navarra.
common_voice_en_18884705.mp3	He was a member of the World Economic Forum in Davos.
common_voice_en_26368088.mp3	Except from the last two, the other villages had been physically integrated into Laredo.
common_voice_en_34551525.mp3	Salman noor.
common_voice_en_18213075.mp3	Wow, look how deep this canyon is!
